DEBUG 2018-08-13 18:22:50,954 - Running the naive_bayes model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,961 - Running the decision_tree model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:50,985 - Running the rfc model of the 0 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:51,385 - Running the svm_kernel model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:51,436 - Running the naive_bayes model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:51,444 - Running the decision_tree model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:51,471 - Running the rfc model of the 1 th iteration for Faces_con_0002_389 contrast
DEBUG 2018-08-13 18:22:52,023 - Running the svm_kernel model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,035 - Running the naive_bayes model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,042 - Running the decision_tree model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,055 - Running the rfc model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,312 - Running the svm_kernel model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,324 - Running the naive_bayes model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,330 - Running the decision_tree model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,341 - Running the rfc model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,585 - Running the svm_kernel model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,597 - Running the naive_bayes model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,604 - Running the decision_tree model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,618 - Running the rfc model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,873 - Running the svm_kernel model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,884 - Running the naive_bayes model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,890 - Running the decision_tree model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:52,903 - Running the rfc model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,159 - Running the svm_kernel model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,173 - Running the naive_bayes model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,180 - Running the decision_tree model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,190 - Running the rfc model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,442 - Running the svm_kernel model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,458 - Running the naive_bayes model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,465 - Running the decision_tree model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,475 - Running the rfc model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,808 - Running the svm_kernel model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,829 - Running the naive_bayes model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,835 - Running the decision_tree model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:53,851 - Running the rfc model of the 0 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:54,161 - Running the svm_kernel model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:54,182 - Running the naive_bayes model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:54,188 - Running the decision_tree model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:54,202 - Running the rfc model of the 1 th iteration for Faces_con_0003 contrast
DEBUG 2018-08-13 18:22:54,644 - Running the svm_kernel model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:54,660 - Running the naive_bayes model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:54,666 - Running the decision_tree model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:54,682 - Running the rfc model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:54,957 - Running the svm_kernel model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:54,973 - Running the naive_bayes model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:54,979 - Running the decision_tree model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:54,994 - Running the rfc model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,272 - Running the svm_kernel model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,292 - Running the naive_bayes model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,298 - Running the decision_tree model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,315 - Running the rfc model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,619 - Running the svm_kernel model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,641 - Running the naive_bayes model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,647 - Running the decision_tree model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,665 - Running the rfc model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,964 - Running the svm_kernel model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,984 - Running the naive_bayes model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:55,990 - Running the decision_tree model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:56,005 - Running the rfc model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:56,306 - Running the svm_kernel model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:56,326 - Running the naive_bayes model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:56,332 - Running the decision_tree model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:56,348 - Running the rfc model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:56,722 - Running the svm_kernel model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:56,779 - Running the naive_bayes model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:56,787 - Running the decision_tree model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:56,819 - Running the rfc model of the 0 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:57,244 - Running the svm_kernel model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:57,285 - Running the naive_bayes model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:57,292 - Running the decision_tree model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:57,315 - Running the rfc model of the 1 th iteration for Faces_con_0003_389 contrast
DEBUG 2018-08-13 18:22:57,857 - Running the svm_kernel model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:57,869 - Running the naive_bayes model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:57,874 - Running the decision_tree model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:57,885 - Running the rfc model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,148 - Running the svm_kernel model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,159 - Running the naive_bayes model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,165 - Running the decision_tree model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,175 - Running the rfc model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,420 - Running the svm_kernel model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,432 - Running the naive_bayes model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,438 - Running the decision_tree model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,450 - Running the rfc model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,682 - Running the svm_kernel model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,693 - Running the naive_bayes model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,699 - Running the decision_tree model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,710 - Running the rfc model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,962 - Running the svm_kernel model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,974 - Running the naive_bayes model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,980 - Running the decision_tree model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:58,994 - Running the rfc model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,250 - Running the svm_kernel model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,262 - Running the naive_bayes model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,268 - Running the decision_tree model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,278 - Running the rfc model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,603 - Running the svm_kernel model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,624 - Running the naive_bayes model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,631 - Running the decision_tree model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,645 - Running the rfc model of the 0 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,956 - Running the svm_kernel model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,978 - Running the naive_bayes model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,984 - Running the decision_tree model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:22:59,999 - Running the rfc model of the 1 th iteration for Faces_con_0004 contrast
DEBUG 2018-08-13 18:23:00,454 - Running the svm_kernel model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:00,470 - Running the naive_bayes model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:00,476 - Running the decision_tree model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:00,489 - Running the rfc model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:00,765 - Running the svm_kernel model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:00,782 - Running the naive_bayes model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:00,788 - Running the decision_tree model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:00,801 - Running the rfc model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,083 - Running the svm_kernel model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,103 - Running the naive_bayes model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,109 - Running the decision_tree model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,126 - Running the rfc model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,445 - Running the svm_kernel model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,468 - Running the naive_bayes model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,476 - Running the decision_tree model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,492 - Running the rfc model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,792 - Running the svm_kernel model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,812 - Running the naive_bayes model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,819 - Running the decision_tree model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:01,835 - Running the rfc model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:02,142 - Running the svm_kernel model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:02,163 - Running the naive_bayes model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:02,169 - Running the decision_tree model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:02,182 - Running the rfc model of the 1 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:02,564 - Running the svm_kernel model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:02,609 - Running the naive_bayes model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:02,615 - Running the decision_tree model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:02,639 - Running the rfc model of the 0 th iteration for Faces_con_0004_389 contrast
DEBUG 2018-08-13 18:23:03,068 - Running the svm_kernel model of the 1 th iteration for Faces_con_0004_389 contrast
